i_g,erm_val,erm,RU_val,RU,Robust_val,Robust_mean,opt,z_erm,z_RU,z_opt,z_robust,l_wass_in,l_wass_out,z_wass,l_mom_in,l_mom_out,z_mom
10,4.871207169482639,4.267029236419056,4.867169609135516,2.9344567197853606,4.864784381765183,4.454666981925629,4.836581095656715,0.3641950084673995,0.36765288102512533,0.42002201080322266,0.36986502040748714,"[4.26702922e+00 4.27771009e+00 4.34760821e+00 4.90354902e+00
 1.15032160e+01 5.48040483e+03]","[   4.87131155    4.87079914    4.86647438    4.84370594    5.32485072
 1848.26939707]",2.6602278398452577,"[4.26702921 3.81534192 4.04062114 3.95393427 3.9234342  3.5913344
 3.82961594 3.82961586 3.33361898 3.7629602 ]","[4.87153375 4.84792311 4.9547516  4.83972781 5.36085622 5.14933682
 4.89996745 4.9000034  4.8432765  4.86948938]",0.36568415686914935
11,4.856599120226504,4.95303420924585,4.864417837132502,3.3840406188077856,4.901303585852659,5.143500051639127,4.836581095656715,0.46084793758162157,0.46764319496424966,0.42002201080322266,0.49149888967908284,"[4.95303417e+00 4.96543223e+00 5.04645816e+00 5.69141905e+00
 1.36425094e+01 6.50438241e+03]","[   4.85684514    4.85700773    4.86071307    4.89947618    6.07201208
 2363.5481151 ]",2.7422114169767124,"[4.95303431 4.95885863 4.93300471 4.85423265 4.68974713 4.47440887
 4.02053133 4.02053123 4.0025465  4.93440684]","[4.85686206 4.85889661 5.27138378 4.8360194  4.88199228 5.07804594
 4.8494872  4.84897765 4.91463191 4.83753594]",0.42970820878241384
12,4.856425461436119,5.110536846457524,4.864495496687544,3.486832877761865,4.878755925865276,5.598151489482968,4.836581095656715,0.460429527928881,0.46815722021574885,0.42002201080322266,0.4784379338425707,"[5.11053682e+00 5.12332914e+00 5.20724959e+00 5.87616823e+00
 1.39551085e+01 6.66012460e+03]","[   4.85673045    4.85642067    4.86067824    4.89720221    6.0955547
 2348.54027606]",2.7400875842452943,"[5.11053687 5.21642219 5.38139179 5.52042668 5.26670243 4.66935578
 5.39954342 4.65108545 4.80490966 4.80491207]","[4.85603138 4.88490396 4.83743889 4.91936477 4.83746769 4.91268646
 4.89887305 4.84454708 4.93378429 4.93408905]",0.5069883766197323
13,4.8420871549991755,5.076514750954009,4.846898639309019,3.461957917458651,4.87845986197223,4.897522234955102,4.836581095656715,0.4428278122231219,0.4504000479417567,0.42002201080322266,0.4781497928106688,"[5.07651473e+00 5.08922186e+00 5.17223623e+00 5.82920041e+00
 1.37016520e+01 6.53637541e+03]","[   4.84223891    4.84243824    4.84482532    4.8716011     6.0680475
 2347.63482396]",2.739948013758704,"[5.07651472 5.24006079 5.03688712 5.00281445 4.26190121 4.42798699
 3.7846842  4.17486615 4.15162745 4.5401111 ]","[4.84222257 5.01567855 4.83860756 4.85337731 4.8390239  4.84159745
 4.88484423 4.85515557 5.13198858 4.8803755 ]",0.4795352018807858
14,4.845175615018513,4.90960774005642,4.8394386645411736,3.3608927507749287,4.8515026204341165,4.33011901997996,4.836581095656715,0.39303047365869964,0.4018629443046685,0.42002201080322266,0.38378864394055096,"[4.90960775e+00 4.92189710e+00 5.00251810e+00 5.64335759e+00
 1.33422356e+01 6.35655733e+03]","[   4.8448696     4.8444705     4.84188796    4.8358688     5.50236837
 2009.00435604]",2.6880219611810054,"[4.90960791 4.68544945 5.30058159 5.04700071 4.99049003 4.32649898
 4.02631268 4.33914895 4.24952432 4.3079899 ]","[4.84507248 4.83756364 4.92353006 5.09674762 4.8358024  4.86556036
 4.8506071  4.9114572  4.91240882 4.83733948]",0.4299203511233476
15,4.836408190765842,4.846867050244239,4.8360700054776276,3.3120765363692044,4.835993348786335,4.806342838078168,4.836581095656715,0.42411185433253695,0.42411188572908765,0.42002201080322266,0.42411187048804644,"[4.84686700e+00 4.85899933e+00 4.93859004e+00 5.56975677e+00
 1.32569954e+01 6.31798101e+03]","[   4.83610563    4.83609704    4.83669845    4.84920775    5.7439084
 2170.49595094]",2.713798341480121,"[4.84686715 5.10745048 4.80802044 4.93946792 5.17475723 5.49386049
 4.04975946 4.95211226 3.45926523 4.34989243]","[4.83609284 4.84158139 4.85744594 4.84399572 4.8360058  5.05640117
 4.85001116 5.09272592 4.83805549 4.90136237]",0.34347292924396916
16,4.836864339240118,4.528723883741427,4.8367193715309895,3.0930913697744953,4.837917122818359,4.6949962221063135,4.836581095656715,0.4135154899664073,0.41351550757405164,0.42002201080322266,0.43371139895428873,"[4.52872382e+00 4.54005980e+00 4.61442625e+00 5.20725887e+00
 1.22334462e+01 5.83007802e+03]","[   4.83684268    4.83647145    4.83595873    4.84184244    5.66543868
 2109.30301796]",2.704274372797271,"[4.52872389 4.68672507 4.20597624 4.47597309 4.40100865 4.72098244
 4.29428273 4.29428271 4.32992911 4.32992914]","[4.83671376 4.93596875 4.88587254 4.93607008 4.86755288 5.11401312
 4.87611506 4.87641069 4.83579311 4.83588959]",0.4214702112254632
17,4.898287791378489,5.411865884681382,4.913328717437604,3.6893261710829925,5.012622655509197,5.54633601545087,4.836581095656715,0.4900160134088827,0.49745327762418395,0.42002201080322266,0.5353156871269062,"[5.41186589e+00 5.42541248e+00 5.51428105e+00 6.22462559e+00
 1.48726413e+01 7.11026764e+03]","[   4.89844512    4.89915503    4.90568714    4.96363757    6.33209239
 2466.75075824]",2.756439622236757,"[5.41186589 5.40016674 5.32428378 5.20358227 5.69090431 5.33609758
 4.91741087 4.91741086 4.95130636 4.951309  ]","[4.89814767 4.94818464 5.02646688 4.86144878 4.95338913 4.83808419
 4.88751304 4.8876684  4.92676815 4.92665267]",0.5039098774642053
18,4.838416103160032,4.814951821501626,4.836684526946097,3.2957533436633484,4.850340353657954,4.754608572988225,4.836581095656715,0.40275415543729975,0.4115456631136509,0.42002201080322266,0.38545487033112696,"[4.81495181e+00 4.82700423e+00 4.90607086e+00 5.53484217e+00
 1.30981781e+01 6.24084133e+03]","[   4.84012241    4.83927159    4.83746897    4.83793468    5.56610762
 2054.69034205]",2.6955121736066125,"[4.8149518  4.65898983 5.03971428 4.67097286 4.56338682 5.1225062
 4.54623126 4.55730339 3.44382954 4.09695051]","[4.8397941  4.84058097 4.83751124 4.83675156 4.85477582 4.86297138
 4.89299375 4.88963881 4.8440632  4.94000741]",0.5092207738165968
19,4.838238647882603,4.9594313838318484,4.838010127402563,3.391736479822204,4.837182654247531,4.591484247497869,4.836581095656715,0.43346094573770266,0.43346102389858215,0.42002201080322266,0.4301881462876442,"[4.95943140e+00 4.97184548e+00 5.05315668e+00 5.69308235e+00
 1.34191783e+01 6.39829142e+03]","[   4.83845558    4.83871398    4.84008043    4.85723991    5.81929579
 2198.16414418]",2.7180108344853053,"[4.95943154 4.67389378 4.89722331 4.9908907  4.85852952 4.76523339
 4.48807551 4.58698239 4.20154189 4.15425857]","[4.83801637 4.87150206 5.08797064 4.85932078 4.83618939 4.83611507
 4.83710751 5.05299721 4.91764048 4.94365208]",0.5111117822795991
20,4.835782114582607,4.977653735120907,4.836345787633258,3.39624196484766,4.872235950761626,4.56832928897018,4.836581095656715,0.41869435150828294,0.4231068509256027,0.42002201080322266,0.3635437313220193,"[4.97765369e+00 4.99011339e+00 5.07171317e+00 5.71901715e+00
 1.35366988e+01 6.45114930e+03]","[   4.83657857    4.83552345    4.83628977    4.8448133     5.85248794
 2216.40827076]",2.7207607577156336,"[4.97765375 4.54755578 4.83726389 4.82986332 4.64464715 4.60376375
 4.57920554 4.60210469 4.50692505 4.63904464]","[4.83581959 4.95834701 4.88660299 4.8374743  4.83722887 4.86472353
 4.89790112 4.90587309 4.86145257 4.86154899]",0.4653103217950193
21,4.836214527910132,4.576460967714465,4.835658271569439,3.130117384784864,4.8511243814732925,4.230079140249508,4.836581095656715,0.4142145701451279,0.42274511826674804,0.42002201080322266,0.38319840971280894,"[4.57646097e+00 4.58791640e+00 4.66276441e+00 5.26031819e+00
 1.24399737e+01 5.92722883e+03]","[   4.83626844    4.83573958    4.83608533    4.84297673    5.53485074
 2036.1911252 ]",2.692515343146981,"[4.57646109 4.95857128 4.67430936 4.89357682 3.88442484 3.64588599
 3.85344489 3.94255773 3.43931452 3.67129676]","[4.83622013 4.84166553 4.83957877 4.85441078 4.97647909 4.85914202
 4.83682067 4.84097724 4.83622637 4.84218638]",0.4426675796022288
22,4.835698006904043,4.421216388500737,4.836267823785822,3.0190705079176547,4.839645789136101,4.335284062680197,4.836581095656715,0.41923496371958957,0.41958324177244444,0.42002201080322266,0.40266413543478924,"[4.42121632e+00 4.43228320e+00 4.50488428e+00 5.08356254e+00
 1.21336816e+01 5.78103474e+03]","[   4.83617977    4.83555985    4.83641162    4.84522349    5.58273979
 2076.42767944]",2.6990247752178185,"[4.42121637 4.64596716 4.49362912 4.35549956 4.45552319 3.95368376
 3.64679148 4.3317106  3.69554851 3.72424199]","[4.83583135 4.90847684 4.84137846 4.84093267 4.83626492 5.03903604
 4.83835645 4.83549169 5.00151452 4.93964651]",0.3225482109809698
23,4.848915712727468,4.746161155453826,4.845129973725198,3.248228637382551,4.989881539202976,4.119116059777571,4.836581095656715,0.38608655402162806,0.3912884506931069,0.42002201080322266,0.3000158385403255,"[4.74616113e+00 4.75804141e+00 4.83588107e+00 5.45280939e+00
 1.27956801e+01 6.09640399e+03]","[   4.8493092     4.84925153    4.8465021     4.83653656    5.5473423
 2037.43390509]",2.692694677287909,"[4.74616118 5.02637094 4.08409135 4.46002472 4.15834543 3.99493702
 3.76211859 4.20978927 3.06502023 3.18831162]","[4.84907581 4.83627466 4.85943255 5.07698591 4.88609606 4.84528256
 4.83728023 4.9458792  5.37315708 5.24184744]",0.21893783497303143
24,4.837134230576745,5.336845862174662,4.838026544009637,3.6352391269928273,4.889541769044985,5.603651589370956,4.836581095656715,0.42653993069161944,0.43370092779260994,0.42002201080322266,0.48510037653924837,"[5.33684585e+00 5.35020468e+00 5.43784133e+00 6.13785414e+00
 1.43995225e+01 6.86297488e+03]","[   4.83656869    4.8363091     4.83716556    4.85112127    5.94681915
 2316.71283757]",2.7355333822218713,"[5.33684584 5.53695839 5.95631712 5.67985048 5.45189777 5.45883027
 5.49004405 5.3816639  5.45242529 5.45242522]","[4.83643437 4.91384961 4.97597405 4.9484795  5.06531622 4.86781011
 4.85987953 4.88747378 5.21121656 5.21093392]",0.5836895173086513
25,4.983026574957128,5.287559726600201,5.005301906671659,3.601299211083711,5.034292337173493,5.288067263827393,4.836581095656715,0.5257249157186025,0.5328594900059829,0.42002201080322266,0.5416312956259839,"[5.28755970e+00 5.30079514e+00 5.38762249e+00 6.08163307e+00
 1.45967383e+01 6.99120996e+03]","[   4.98283401    4.98523468    4.99440264    5.08140938    6.8129772
 2750.45352935]",2.792727165449089,"[5.28755987 5.44432909 5.37090367 5.21116708 5.08036578 5.21670399
 5.35836899 5.32231734 5.32928922 5.32928889]","[4.98323274 5.10879195 4.87036431 4.85208661 5.13647474 5.34831459
 4.90880481 5.12186311 5.61232184 5.61236763]",0.6475244631881019
26,4.849882518814766,4.3208346854507536,4.843488312869003,2.9565289670473542,4.836026022768674,4.483845167628229,4.836581095656715,0.38562910773539244,0.39430991286575745,0.42002201080322266,0.42150168816970457,"[4.32083465e+00 4.33165024e+00 4.40260295e+00 4.96597440e+00
 1.17801295e+01 5.61233298e+03]","[   4.8496458     4.84961574    4.84675514    4.83624044    5.45471422
 1967.33480818]",2.681037567276615,"[4.32083466 4.6004031  4.68647336 4.27881517 4.55979241 3.73762945
 4.14948719 4.14948726 3.68729122 3.68729124]","[4.84931525 4.83946835 4.83981869 4.87316361 4.85336678 4.83684994
 4.85758928 4.85791482 4.84553708 4.84613242]",0.39084170731179285
27,4.8451540152027635,4.4065959022489745,4.8427407024754325,3.0208703399267516,4.837313249042028,4.78563173841326,4.836581095656715,0.3918717746448958,0.39629995106323906,0.42002201080322266,0.4073018085292435,"[4.40659590e+00 4.41762613e+00 4.48998712e+00 5.07010882e+00
 1.21505031e+01 5.78878772e+03]","[   4.84517557    4.8446884     4.84304389    4.83600078    5.46100115
 1972.93261472]",2.681982053986563,"[4.40659594 4.47369076 4.36514831 4.19633011 4.05357923 3.87306234
 4.1905972  4.19059835 4.44471264 4.42087549]","[4.84486153 4.83630552 4.8426201  4.88606681 4.85193192 4.8517775
 5.07500518 5.07419958 4.87390838 4.98114608]",0.3034950376142889
28,4.856070543812757,4.691875102844586,4.848165281408357,3.2172709987278183,4.835896074089231,4.937582905361926,4.836581095656715,0.3779657947419743,0.3873527046769275,0.42002201080322266,0.42326756337297294,"[4.69187511e+00 4.70361948e+00 4.78066503e+00 5.39562395e+00
 1.27461397e+01 6.07256314e+03]","[   4.85653364    4.85547371    4.85344366    4.83800464    5.4148393
 1931.89574907]",2.674974463923093,"[4.69187511 4.99473606 4.36268245 3.8622444  4.4522779  4.39252373
 4.87935144 4.2954512  4.27800818 4.27800819]","[4.85587646 4.83869556 4.83939212 4.96165805 4.89026899 4.83629869
 4.87770096 4.83995368 4.83865124 4.83797894]",0.4338041111027899
